loc,blank_lines,comment_lines,avg_line_length,max_nesting_depth,num_keys,file_size_bytes,token_count,num_commits,num_authors,file_age_days,last_modified_days,edit_frequency,is_recently_active,stability_score,churn_total,churn_avg,loc_growth_rate,churn_volatility,num_resources,num_variables,num_dependencies,num_modules,dependency_ratio,has_hardcoded_secret,has_version_pinning,uses_latest_tag,num_anti_patterns,has_error_handling,has_idempotency_check,has_privilege_escalation,template_complexity,num_conditionals,num_loops,repo,tool,filepath,is_defect
47,7,1,19.962962962962962,2,33,1132,147,7,6,4835,2804,0.04343329886246122,0,908,32.9,4.7,0.009720785935884178,2.35,7,6,2,0,0.2857142857142857,1,0,0,0,0,0,0,6,1,1,ansible/ansible-examples,ansible,lamp_simple/roles/db/tasks/main.yml,1
7,1,2,28.0,2,3,232,29,4,4,4835,2804,0.024819027921406413,0,1360,2.8000000000000003,0.7000000000000001,0.0014477766287487074,0.35000000000000003,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple/roles/web/handlers/main.yml,1
11,2,2,23.307692307692307,2,6,316,43,5,4,4835,2804,0.031023784901758018,0,1053,5.5,1.1,0.002275077559462254,0.55,2,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,lamp_simple/roles/web/tasks/copy_code.yml,1
33,4,1,20.37837837837838,2,21,791,107,7,5,4835,2804,0.04343329886246122,0,908,23.1,3.3000000000000003,0.006825232678386763,1.6500000000000001,4,3,1,0,0.25,0,0,0,0,0,0,0,3,1,1,ansible/ansible-examples,ansible,lamp_simple/roles/web/tasks/install_httpd.yml,1
3,0,0,18.333333333333332,0,0,58,7,1,1,4766,4766,0.00629458665547629,0,0,0.30000000000000004,0.30000000000000004,0.000629458665547629,0.15000000000000002,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple/roles/web/tasks/main.yml,0
17,6,1,16.782608695652176,2,9,409,59,6,4,4836,3713,0.03722084367245658,0,570,10.200000000000001,1.7000000000000002,0.003515301902398677,0.8500000000000001,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple/site.yml,0
5,1,2,37.0,1,1,228,28,1,1,3959,3959,0.007577671129072998,0,0,0.5,0.5,0.001262945188178833,0.25,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/common/handlers/main.yml,0
18,4,1,21.136363636363637,1,9,487,65,4,4,3959,3609,0.030310684516291993,0,245,7.2,1.8,0.004546602677443799,0.9,4,1,1,0,0.25,0,0,0,0,0,0,0,1,0,1,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/common/tasks/main.yml,0
4,1,1,21.2,1,1,111,15,1,1,3959,3959,0.007577671129072998,0,0,0.4,0.4,0.0010103561505430665,0.2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/db/handlers/main.yml,0
27,10,1,29.972972972972972,1,12,1146,135,4,4,3959,3609,0.030310684516291993,0,245,10.8,2.7,0.006819904016165698,1.35,10,5,1,0,0.1,0,0,0,0,0,0,0,5,0,1,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/db/tasks/main.yml,0
7,2,2,31.666666666666668,1,2,294,39,2,2,3959,3713,0.015155342258145996,0,245,1.4000000000000001,0.7000000000000001,0.0017681232634503663,0.35000000000000003,2,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/web/tasks/copy_code.yml,0
20,6,1,25.923076923076923,1,8,700,90,2,2,3959,3700,0.015155342258145996,0,258,4.0,2.0,0.005051780752715332,1.0,6,3,0,0,0.0,0,0,0,0,0,0,0,3,0,2,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/web/tasks/install_httpd.yml,0
3,0,0,18.333333333333332,0,0,58,7,1,1,3959,3959,0.007577671129072998,0,0,0.30000000000000004,0.30000000000000004,0.0007577671129072998,0.15000000000000002,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/web/tasks/main.yml,0
17,6,1,16.782608695652176,2,9,409,59,2,2,3959,3713,0.015155342258145996,0,245,3.4000000000000004,1.7000000000000002,0.004294013639808032,0.8500000000000001,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_simple_rhel7/site.yml,0
43,13,22,30.053571428571427,7,13,1739,215,3,3,4781,4017,0.01882451370006275,0,626,12.9,4.3,0.008993934323363314,2.15,5,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/ansible_pull.yml,0
13,6,5,28.789473684210527,2,4,566,105,2,2,4781,4155,0.012549675800041831,0,626,2.6,1.3,0.002719096423342397,0.65,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/batch_size_control.yml,0
36,9,16,40.13333333333333,4,13,1851,256,1,1,4781,4781,0.0062748379000209156,0,0,3.6,3.6,0.007529805480025099,1.8,3,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/cloudformation.yaml,0
37,8,17,32.8,5,14,1521,258,3,3,4781,4266,0.01882451370006275,0,408,11.100000000000001,3.7000000000000006,0.00773896674335913,1.8500000000000003,4,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/complex_args.yml,1
34,16,23,30.12,2,5,1556,275,3,3,4781,4017,0.01882451370006275,0,626,10.200000000000001,3.4000000000000004,0.007111482953357038,1.7000000000000002,2,4,0,0,0.0,0,0,0,0,0,0,0,4,0,0,ansible/ansible-examples,ansible,language_features/conditionals_part1.yml,0
29,11,2,25.125,3,19,1045,164,4,4,4781,3713,0.025099351600083662,0,626,11.600000000000001,2.9000000000000004,0.006065676636686885,1.4500000000000002,6,0,0,0,0.0,0,1,0,0,0,0,0,0,6,0,ansible/ansible-examples,ansible,language_features/conditionals_part2.yml,0
5,1,0,23.0,1,2,144,14,2,2,4781,4155,0.012549675800041831,0,626,1.0,0.5,0.0010458063166701526,0.25,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/custom_filters.yml,0
30,9,18,36.17948717948718,2,7,1450,244,3,3,4781,3713,0.01882451370006275,0,626,9.0,3.0,0.006274837900020916,1.5,3,5,0,0,0.0,0,0,0,0,0,0,0,5,0,0,ansible/ansible-examples,ansible,language_features/delegation.yml,0
22,9,9,26.419354838709676,4,9,850,141,4,4,4781,3222,0.025099351600083662,0,764,8.8,2.2,0.004601547793348672,1.1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/environment.yml,1
51,14,17,29.26153846153846,5,23,1967,252,6,5,4781,3713,0.0376490274001255,0,543,30.6,5.1000000000000005,0.010667224430035557,2.5500000000000003,8,7,0,0,0.0,0,0,0,0,0,0,0,7,0,3,ansible/ansible-examples,ansible,language_features/eucalyptus-ec2.yml,1
